商品名,顧客属性,問い合わせ元サイト,大区分NO,大区分名,小区分NO,小区分名,ユーザーの意図(Intent),意図要約(短),対象機能(Target Function),Webサイトのバリア(Barrier),バリア要約(短),Web自己解決可能性,推定発生ページ,発生タイミング,重要キーワード,緊急度,顧客の生の声,商品カテゴリ小カテゴリ
景品お菓子,不明,不明,2,ご相談について,2,販促什器について,射的景品用のお菓子のみ販売や類似セット購入可否を相談したい,射的向け景品お菓子の購入相談,商品相談,なし,なし,中,商品ページ,注文前,景品;お菓子;射的;類似;セット;販売,低,以前購入させて頂いたこちらの商品の、景品お菓子のみの販売はしておりますでしょうか？;類似するお菓子系の商品（射的に使えるもの）セットがあれば購入したいと考えております。,お菓子／おもちゃ／食品 ノベルティ
【10本】フックハンガー ブラック(直径6mm)〔ストエキオリジナル〕長さ5cm(10本),不明,不明,1,商品単品の仕様について,2,陳列ディスプレイ商品について（ハンガー、マネキン、卓上ディスプレイ）,商品の原産国を確認したい,指定商品の原産国確認,商品仕様確認,なし,なし,中,商品ページ,注文前,原産国;61-423-62-1;フックハンガー;ブラック;直径6mm;長さ5cm;10本;ストエキオリジナル,低,下記商品の原産国を教えてください。,ハンガー
WB-19-29,不明,不明,1,商品単品の仕様について,2,陳列ディスプレイ商品について（ハンガー、マネキン、卓上ディスプレイ）,トルソー商品の乳首有無（仕様）を確認したい,トルソー乳首の有無確認,商品仕様確認,なし,なし,中,商品ページ,注文前,WB-19-29;乳首;レディーストルソー;キッズ;商品,低,WB-19-29には乳首は付いていますか？;キッズを含めたレディーストルソーで乳首の付いている商品がありましたら教えてください。,マネキン／トルソー（ボディ）
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,サービス提案の売り込み,ARエフェクト導入提案,不明,なし,なし,高,お問い合わせフォーム,不明,TOBIDASE;ARエフェクト;アプリ不要;低コスト;イベント来場者;SNS;導入事例;サービス資料;https://tobidase.jp/,低,突然のご連絡失礼いたします。 TOBIDASE 代表の古志と申します。;イベント来場者の満足度を高め、SNSでの自然な拡散を促進する「ARエフェクト」を、アプリ不要・低コストでご提供しております。,不明
不明,不明,不明,3,注文について,5,お客様都合による返品や交換,未開封商品の返品可否を確認したい,未開封商品の返品可否確認,返品,返品条件の情報が見つからない,返品可否・条件が分からない,中,ご利用ガイド（キャンセル・返品・交換について）,注文後,未開封;開封もしていない;返品;受け付け,中,"""開封もしていないのですが、返品を受け付けていただくことはできないでしょうか？""",不明
不明,不明,不明,6,納期について,3,納期確認（ご注文前）-いつ届くのか,10月24日までに届くか確認したい,10/24までの納期可否確認,納期確認,なし,なし,中,商品ページ,注文前,10月24日まで;着希望;可能ですか,高,10月24日までの着希望です。可能ですか？,不明
不明,事務担当,不明,7,インボイスについて,1,納品書の再発行依頼,インボイス対応の納品書を再発行してほしい,納品書の再発行を依頼,納品書再発行,なし,なし,中,注文履歴詳細,帳票発行時,納品書;同梱されていなかった;再発行;インボイス対応,中,納品書が同梱されていなかったので、再発行をお願いします。（インボイス対応のもの）,不明
不明,不明,不明,3,注文について,6,配送先の変更,注文の送り先を変更したい,送り先住所の変更依頼,配送先変更,なし,なし,中,会員情報変更,注文後,送り先変更希望;510―0243;㈱フルサイズ;三重県鈴鹿市白子１－28－24;内藤;09032191091,中,お世話になります。 送り先変更希望です。;こちらまで変更お願いします。,不明
不明,不明,不明,13,お客様ではない企業からの売込み,1,お客様ではない企業からの売込み,動画制作サービスの営業提案を行いたい,動画制作の営業提案,不明,なし,なし,低,不明,不明,動画制作会社;WebCM;テレビCM;サービス紹介動画;会社紹介動画;Web会議;30分;制作実績;予約URL;lumii.co.jp;YouTube;timerex.net,低,弊社は、高品質な動画を業界相場の1/3以下の価格で制作可能な動画制作会社です。;30分のWeb会議で情報のご提供ができればと思っているのですが、いかがでしょうか？,不明
不明,不明,不明,6,納期について,5,納期確認（ご注文後）-いつ届くのか,当日出荷品の納品日を最短に前倒ししたい,納品日を最短へ前倒し希望,納期確認,なし,なし,低,不明,注文後,当日出荷商品;着日指定;24日金曜日;前倒し;納品;本日発送;最短日;オフィス;いつでも受け取れます,中,着日は早ければ早いほうがありがたいです！;最短日で指定いただければ幸いです。,不明
不明,事務担当,不明,4,ご利用について,6,支払方法の種類について,支払方法の変更方法を知りたい,支払方法変更の手順確認,支払方法変更,案内が見つからない,支払方法変更の案内を確認できない,中,ご利用ガイド（お支払いについて）,支払時,支払方法の変更;メール;確認できず,中,支払方法の変更の件かと思いますので、方法のご教示をお願いいたします。;メールをお送りいただいているとのことなんですが、こちらで確認できずご連絡させていただきました。,不明
不明,不明,不明,3,注文について,4,注文のキャンセル,納期遅れのため注文をキャンセルしたい,納期遅れでキャンセル希望,キャンセル,なし,なし,中,注文履歴詳細,注文後,納期遅れ;11月中に必要;キャンセル,高,11月中に必要なものでしたので、キャンセルさせて頂けましたら幸いです。,不明
不明,不明,不明,3,注文について,2,入金確認,入金完了の連絡と最短発送の依頼,入金完了・最短発送希望,入金確認,なし,なし,低,不明,支払時,入金完了;急ぎ;最短発送,高,只今入金完了いたしました。;恐れ入りますが急ぎで必要な為最短の発送を宜しくお願いいたします。,不明
大和産業 買い物カゴ 6リットル SL-1,店舗オーナー,不明,6,納期について,4,納期確認（ご注文前）-在庫はいくつあるか,対象商品の在庫数と入荷予定数量を確認したい,在庫数と入荷予定数量確認,在庫確認,なし,なし,中,商品ページ,注文前,現在の在庫数;入荷予定;数量;大和産業;買い物カゴ;6リットル;SL-1;61-813-84-2;ロイヤルブルー;5個;61-813-84-5;ナチュラル,中,下記の現在の在庫数と入荷予定・数量をお伺いできますと幸いです。;お手数お掛け致しますが、よろしくお願い致します。,買い物かご
木製ボックス（オーダーサイズ）,不明,不明,1,商品単品の仕様について,8,その他商品について,木製ボックス（オーダーサイズ）の耐荷重可否を確認したい,20kg積載の耐荷重確認,仕様確認,なし,なし,中,商品ページ,注文前,木製ボックス;オーダーサイズ;耐荷重;スマートボール;20KG;w900;D500;H300;運送用;キャスター無し,低,木製ボックス（オーダーサイズ）に関して、 スマートボール（20KG）の商品を入れ、運送用として使用したいと考えておりますが、耐荷重的に問題ないでしょうか。;大きさはw900*D500*H300mmの大きさを想定してます。,ボックス什器
